#1 
double default(10,10) #Plant name: GuD-HKW WW . PQ heat input matrix generated with EBSILON-Professional. File: H:\01_TransiEntEE\03_Arbeitspakete\AP4_Kraftwerke_und_Fernwaermenetz\AP4.1_KW\1_EbsilonModelle\04_GuD\Q_flow_input_generator\Q_flow_input_generator_GuD_2GT_noZF_EntKond_FWTinHRSG_again_newControl.ebs
0e6		24.4e6	48.8e6	73.3e6	97.7e6	122.2e6	146.6e6	171.1e6	195.5e6	220e6
52.2e6	99e6	112e6	112e6	112e6	196e6	197e6	186e6	168e6	171e6
104.4e6	198e6	228e6	223e6	225e6	258e6	260e6	244e6	222e6	225e6
156.6e6	298e6	314e6	324e6	333e6	340e6	342e6	322.3e6	292e6	296e6
208.8e6	397e6	412e6	419e6	431e6	443e6	451e6	424e6	384e6	390e6
261.1e6	496e6	509e6	517e6	527e6	539e6	548e6	558e6	506e6	513e6
313.3e6	596e6	607e6	617e6	626e6	636e6	647e6	656e6	666e6	676e6
365.5e6	695e6	706e6	714e6	726e6	736e6	745e6	754e6	764e6	774e6
417.7e6	794e6	804e6	814e6	825e6	833e6	843e6	853e6	862e6	872e6
470e6	894e6	900e6	933e6	935e6	936e6	946e6	956e6	966e6	974e6

